,Unnamed: 0,id,fighter_name,total_wins,total_losses,total_draws,total_nc,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,td_acc.1,sub_avg
509,510,3f7dab21b6c971bc,Dequan Townsend,21,12,0,0,"6'3""",205,"79""",Orthodox,5/11/1986,1.23,34%,3.92,38%,0.0,0%,46%,0%,0.0
510,511,b1a3e0aca758b322,Derek Brunson,21,7,0,0,"6'1""",185,"77""",Southpaw,1/04/1984,3.77,47%,2.95,54%,3.02,31%,100%,31%,0.4
512,513,483a953b18d73bb3,Deron Winn,7,2,0,0,"5'6""",185,"70""",Orthodox,6/13/1989,4.74,47%,5.17,50%,4.98,52%,0%,52%,0.0
513,514,714e1e0681ddb703,Derrick Krantz,22,12,0,0,"5'10""",170,"72""",Orthodox,1/13/1988,2.07,37%,4.03,50%,3.18,50%,0%,50%,0.8
514,515,d3df1add9d9a7efb,Derrick Lewis,25,7,0,1,"6'3""",260,"79""",Orthodox,2/07/1985,2.59,50%,2.16,44%,0.52,26%,54%,26%,0.0
516,517,f046d724d2a84ac5,Desmond Green,23,8,0,0,"5'10""",155,"73""",Southpaw,10/11/1989,3.7,46%,2.51,69%,1.62,50%,75%,50%,0.0
517,518,cc7040fe76f0ef91,Devin Clark,12,5,0,0,"6'0""",205,"75""",Orthodox,4/12/1990,3.33,57%,2.43,48%,2.7,36%,76%,36%,0.1
518,519,065eb44700e641a4,Devin Powell,9,4,0,0,"6'0""",155,"73""",Orthodox,3/01/1988,2.88,41%,3.67,51%,0.0,0%,0%,0%,0.6
519,520,207773daeb4afa7b,Devonte Smith,11,2,0,0,"5'9""",155,"76""",Orthodox,7/30/1993,5.64,55%,2.65,59%,0.74,100%,100%,100%,0.7
520,521,e9213f53ddeca978,Dhiego Lima,17,8,0,0,"6'2""",170,"75""",Orthodox,1/31/1989,3.14,38%,3.93,59%,1.38,42%,73%,42%,0.7
521,522,d7e40dca3ae125be,Diana Belbita,13,6,0,0,"5'7""",125,"68""",Orthodox,6/26/1996,5.81,39%,6.49,52%,1.69,66%,64%,66%,0.0
522,523,c2e3e67b5911bfb7,Diego Brandao,22,11,0,0,"5'7""",145,"64""",Orthodox,5/27/1987,2.94,47%,3.38,62%,3.21,68%,80%,68%,0.6
523,524,f53d4f21d1b5f2dc,Diego Ferreira,17,3,0,0,"5'9""",155,"74""",Orthodox,1/18/1985,4.85,37%,3.26,58%,0.89,26%,68%,26%,0.9
524,525,3a24769a4855040a,Diego Nunes,19,7,0,0,"5'6""",145,"67""",Orthodox,11/30/1982,2.72,43%,2.59,58%,1.18,44%,65%,44%,0.6
525,526,09f579be4520394a,Diego Rivas,10,2,0,0,"5'8""",145,"69""",Orthodox,11/11/1991,1.37,40%,2.14,52%,1.79,60%,64%,60%,0.9
526,527,82e7929bf6c2b689,Diego Sanchez,31,13,0,0,"5'10""",170,"72""",Southpaw,12/31/1981,2.69,37%,3.02,56%,1.51,24%,46%,24%,0.8
530,531,75afb06215a07341,Dmitrii Smoliakov,9,3,0,0,"6'2""",253,"74""",Switch,8/05/1982,1.44,42%,3.81,55%,0.0,0%,75%,0%,0.0
531,532,85ff1b9471d35238,Dmitry Sosnovskiy,11,0,0,0,"6'3""",240,"77""",Orthodox,7/06/1989,2.95,70%,2.53,35%,3.16,66%,100%,66%,3.2
533,534,4bf6b225ff6099c4,Domingo Pilarte,8,2,0,1,"6'0""",135,"73""",Southpaw,1/05/1990,2.04,50%,3.69,42%,2.0,42%,75%,42%,1.3
534,535,2de91c2244ad7e89,Dominic Waters,9,5,0,0,"6'1""",170,"79""",Orthodox,4/11/1989,0.48,23%,2.53,39%,4.07,52%,28%,52%,0.0
535,536,10f3ba6cd2f44a97,Dominick Cruz,23,3,0,0,"5'8""",135,"68""",Orthodox,3/09/1985,3.65,32%,2.42,72%,2.99,46%,83%,46%,0.1
536,537,2e19380f34871c6a,Dominick Reyes,12,2,0,0,"6'4""",205,"77""",Southpaw,12/26/1989,4.53,48%,3.16,49%,0.2,16%,82%,16%,0.2
537,538,68c11c27d4d56572,Dominique Steele,14,9,0,0,"5'10""",170,"74""",Orthodox,1/27/1988,2.32,49%,2.42,50%,2.95,42%,76%,42%,0.0
539,540,68c7ad953455c73f,Don Madge,9,3,1,0,"6'0""",155,"72""",Southpaw,11/12/1990,2.08,52%,0.74,67%,2.22,25%,80%,25%,0.7
540,541,1a9480fc288e55d7,Don'Tale Mayes,8,4,0,0,"6'6""",260,"81""",Orthodox,1/16/1992,4.13,45%,4.46,43%,0.23,20%,59%,20%,0.0
541,542,1d00756835ca67c9,Donald Cerrone,36,15,0,2,"6'1""",155,"73""",Orthodox,3/29/1983,4.43,46%,4.46,53%,1.19,33%,73%,33%,1.2
542,543,9bcf8603ceb25680,Dong Hyun Kim,22,4,1,1,"6'2""",170,"76""",Southpaw,11/17/1981,2.12,49%,1.89,58%,2.93,43%,71%,43%,0.6
543,544,98a6b2361045898f,Dong Hyun Ma,16,11,3,0,"5'11""",155,"70""",Orthodox,9/09/1988,2.84,41%,4.1,54%,1.27,53%,33%,53%,0.0
544,545,aed06011bf62237b,Dongi Yang,13,3,0,0,"5'10""",185,"73""",Southpaw,12/07/1984,3.55,51%,3.21,63%,1.7,41%,61%,41%,0.5
546,547,e93b04e308913c2e,Dooho Choi,14,4,0,0,"5'10""",145,"70""",Orthodox,4/10/1991,5.32,51%,6.38,53%,0.41,20%,50%,20%,0.0
549,550,3a314d9fa7c6825d,Douglas Silva de Andrade,26,4,0,1,"5'7""",145,"68""",Orthodox,6/22/1985,3.77,38%,4.26,58%,0.7,50%,66%,50%,0.0
550,551,7cbf7c78d3b34218,Drakkar Klose,11,2,1,0,"5'9""",155,"70""",Orthodox,3/09/1988,3.89,53%,3.64,53%,1.56,30%,68%,30%,0.0
551,552,dc3b9cf7641b7ab6,Drako Rodriguez,7,2,0,0,"5'8""",135,"69""",Orthodox,6/16/1996,2.57,35%,2.57,26%,2.75,100%,0%,100%,2.8
552,553,519e4fe37ce9ff75,Drew Dober,23,10,0,1,"5'8""",155,"70""",Southpaw,10/19/1988,4.33,40%,3.87,54%,0.8,17%,55%,17%,0.1
553,554,d814f5192e58fb2f,Drew Fickett,42,21,0,0,"5'10""",155,"70""",Orthodox,12/14/1979,2.33,41%,2.29,57%,1.3,35%,30%,35%,2.2
554,555,1fd4fbdcc67de844,Drew McFedries,12,7,0,0,"6'0""",185,"72""",Southpaw,7/27/1978,5.13,51%,4.56,52%,1.42,100%,56%,100%,0.7
555,556,0d7b51c9d2649a6e,Dricus Du Plessis,15,2,0,0,"6'1""",185,"76""",Switch,1/14/1994,7.72,44%,4.16,67%,0.0,0%,0%,0%,0.0
556,557,84ac950d4c1722dd,Duane Ludwig,21,14,0,0,"5'10""",170,"70""",Orthodox,8/04/1978,4.62,44%,3.05,57%,0.43,25%,59%,25%,0.1
557,558,d6ead04919a894b1,Duda Santana,3,1,0,0,"5'7""",145,"73""",Orthodox,1/10/1996,6.01,39%,2.72,73%,6.44,60%,0%,60%,0.0
558,559,866fd7b1a6c90e7f,Dusko Todorovic,10,1,0,0,"6'1""",185,"74""",Orthodox,5/19/1994,7.45,62%,5.42,46%,0.53,6%,100%,6%,0.0
559,560,a149d6bc670cdb60,Dustin Hazelett,12,7,0,0,"6'1""",170,"76""",Orthodox,4/29/1986,2.24,40%,3.51,46%,0.55,50%,25%,50%,4.1
560,561,e4277e87a789d687,Dustin Jacoby,14,5,0,0,"6'3""",205,"76""",Orthodox,4/04/1988,3.68,46%,2.94,61%,0.22,100%,70%,100%,0.0
561,562,fe91d254db77a7fc,Dustin Kimura,11,3,0,0,"5'7""",135,"71""",Orthodox,5/21/1989,1.33,21%,3.82,51%,0.93,37%,50%,37%,2.2
562,563,f53c1f4ceeed8c08,Dustin Ortiz,19,8,0,0,"5'5""",125,"65""",Orthodox,12/25/1988,2.94,44%,2.17,56%,3.01,36%,52%,36%,0.1
563,564,55f80a8aeffcdb33,Dustin Pague,12,11,0,0,"5'9""",135,"74""",Orthodox,8/05/1987,1.65,53%,2.96,41%,1.03,44%,55%,44%,2.6
564,565,029eaff01e6bb8f0,Dustin Poirier,27,6,0,1,"5'9""",155,"72""",Southpaw,1/19/1989,5.59,50%,4.17,54%,1.47,36%,61%,36%,1.3
565,566,71505842fb6455c3,Dustin Stoltzfus,13,2,0,0,"6'0""",185,"75""",Orthodox,11/15/1991,2.48,57%,3.93,48%,0.78,12%,62%,12%,0.8
567,568,8be158ca1e5ea6a0,Dwight Grant,10,3,0,0,"6'1""",170,"76""",Switch,9/14/1984,3.39,37%,2.16,69%,0.34,100%,78%,100%,0.0
568,569,00debc804e2b1cd4,Dylan Andrews,18,7,0,1,"6'1""",185,"74""",Switch,11/15/1979,2.21,50%,2.72,46%,2.83,50%,57%,50%,0.4
570,571,06f36cf4bd97ec77,Ed Herman,27,14,0,1,"6'1""",205,"77""",Orthodox,10/02/1980,3.32,49%,3.35,43%,2.21,48%,60%,48%,1.2
571,572,33a331684283900f,Eddie Alvarez,29,6,0,1,"5'9""",155,"69""",Orthodox,1/11/1984,4.32,41%,4.39,55%,2.92,36%,92%,36%,0.5
572,573,8cad40a75e5c97f5,Eddie Gordon,8,4,0,0,"6'0""",185,"76""",Orthodox,7/22/1983,2.03,32%,2.57,60%,1.93,83%,63%,83%,0.0
574,575,7f0b4a75ef3039a3,Eddie Sanchez,15,8,0,0,"6'2""",230,"74""",Orthodox,11/04/1982,3.45,43%,3.3,43%,1.13,26%,42%,26%,0.0
575,576,fc9a9559a05f2704,Eddie Wineland,24,15,1,0,"5'7""",135,"69""",Orthodox,6/26/1984,3.4,29%,3.66,69%,0.34,33%,86%,33%,0.1
577,578,8d49545dadf9b919,Edgar Garcia,14,5,0,0,"5'10""",170,"71""",Orthodox,2/22/1984,3.16,29%,4.23,60%,2.21,57%,50%,57%,0.6
579,580,6c7020b859c7a3ce,Edimilson Souza,15,5,0,0,"6'0""",145,"74""",Orthodox,10/17/1984,4.65,44%,2.91,58%,0.0,0%,50%,0%,0.0
580,581,4144798612ef96e5,Edmen Shahbazyan,11,1,0,0,"6'2""",185,"74""",Orthodox,11/20/1997,3.85,51%,4.31,49%,4.44,40%,58%,40%,0.5
582,583,64a50dad704d1d49,Edson Barboza,21,9,0,0,"5'11""",145,"75""",Orthodox,1/21/1986,3.98,43%,4.03,60%,0.44,44%,78%,44%,0.1
583,584,7bde387d50829adf,Eduardo Garagorri,13,2,0,0,"5'9""",145,"70""",Orthodox,5/28/1989,3.42,51%,2.36,58%,0.48,100%,61%,100%,0.0
585,586,bbfca6d5c27d9cd8,Edwin Figueroa,9,5,0,0,"5'7""",135,"69""",Orthodox,7/31/1984,2.57,39%,3.06,51%,0.2,100%,37%,100%,0.6
586,587,83fd97284f4bb4a4,Efrain Escudero,28,12,0,0,"5'9""",155,"71""",Orthodox,1/15/1986,2.92,44%,2.3,63%,1.31,40%,66%,40%,0.8
588,589,ac5a7400da3a9a41,Elias Garcia,6,2,0,0,"5'5""",125,"67""",Southpaw,9/13/1992,1.59,27%,5.05,50%,0.68,14%,33%,14%,1.4
589,590,52ba464d9068d871,Elias Silverio,13,3,0,0,"5'11""",155,"73""",Orthodox,9/22/1986,3.67,49%,2.97,51%,1.62,38%,85%,38%,0.2
590,591,34f88592c0ab7a54,Elias Theodorou,16,3,0,0,"6'1""",185,"75""",Orthodox,5/31/1988,4.19,42%,2.39,53%,1.27,28%,59%,28%,0.0
591,592,a08d909a5be6f410,Eliot Marshall,10,4,0,0,"6'2""",205,"77""",Orthodox,7/07/1980,1.93,27%,2.39,67%,0.47,33%,79%,33%,0.9
592,593,dcbf01d605681ad1,Elizabeth Phillips,6,6,0,0,"5'6""",135,"65""",Orthodox,8/20/1986,2.6,33%,3.07,58%,0.75,25%,53%,25%,0.2
593,594,8adcbd525fab8d9b,Elizeu Zaleski dos Santos,22,7,0,0,"5'11""",170,"73""",Orthodox,12/11/1986,4.05,39%,3.07,59%,0.57,17%,52%,17%,0.5
594,595,28c55b4087a6f136,Elvis Mutapcic,15,6,1,0,"6'0""",185,"72""",Orthodox,7/19/1986,3.41,40%,4.27,38%,0.0,0%,81%,0%,0.0
595,596,817e0bdf08efce2e,Elvis Sinosic,7,11,2,0,"6'3""",205,"77""",Orthodox,2/13/1971,1.13,37%,4.6,53%,0.0,0%,0%,0%,1.2
596,597,103b06d8707895a9,Emil Meek,9,5,1,1,"5'11""",170,"74""",Switch,8/20/1988,2.52,39%,2.53,38%,0.25,33%,47%,33%,1.0
597,598,b3d21b2610dcfaeb,Emily Whitmire,4,4,0,0,"5'5""",115,"63""",Orthodox,5/24/1991,2.71,30%,3.08,54%,1.1,50%,70%,50%,0.6
599,600,be0b310a12eb80b4,Enrique Barzola,17,5,2,0,"5'7""",145,"70""",Orthodox,4/28/1989,3.91,41%,2.97,68%,4.2,45%,66%,45%,0.3
601,602,f59f1d3a2ff13edd,Eric Schafer,14,8,2,0,"6'3""",185,"76""",Orthodox,9/20/1977,1.89,34%,3.38,56%,1.81,36%,50%,36%,1.8
602,603,a0c64f272b65d441,Eric Shelton,12,6,0,0,"5'6""",125,"68""",Orthodox,2/02/1991,2.57,42%,1.88,63%,2.83,51%,46%,51%,0.2
603,604,b9664eae2ac75262,Eric Spicely,12,6,0,0,"6'1""",185,"73""",Orthodox,9/29/1986,3.71,45%,5.72,55%,1.31,20%,75%,20%,1.0
605,606,8163cd7de0342652,Erick Montano,7,5,0,0,"6'0""",170,"73""",Orthodox,11/19/1985,2.79,44%,2.06,64%,2.29,36%,66%,36%,0.0
606,607,5866fc86183a9fb8,Erick Silva,19,9,0,1,"6'0""",170,"74""",Orthodox,6/21/1984,2.5,48%,4.18,49%,0.85,35%,56%,35%,1.4
608,609,99bd87a300079ed9,Erik Koch,16,6,0,0,"5'10""",170,"71""",Southpaw,10/04/1988,2.33,42%,2.82,47%,1.02,42%,81%,42%,1.0
609,610,af62f99eb7606308,Erik Perez,17,6,0,0,"5'8""",135,"68""",Orthodox,11/19/1989,3.16,40%,2.09,66%,3.16,55%,69%,55%,0.2
610,611,b406da701c479076,Ernest Chavez,10,2,0,0,"5'8""",145,"70""",Orthodox,6/27/1983,2.79,40%,3.89,59%,0.89,33%,50%,33%,0.0
612,613,cad24459b28592ca,Eryk Anders,13,5,0,1,"6'1""",185,"75""",Southpaw,4/21/1987,3.23,46%,4.15,51%,1.62,35%,80%,35%,0.1
616,617,e5c9de15bb58b1c6,Evan Dunham,18,9,1,0,"5'10""",155,"70""",Southpaw,12/18/1981,5.33,39%,3.54,61%,1.82,33%,79%,33%,1.0
617,618,8f2d9ee27f206f1f,Evan Tanner,32,8,0,0,"6'0""",185,"74""",Orthodox,2/11/1971,3.05,59%,2.64,56%,2.55,43%,25%,43%,1.3
621,622,1fb80f46d3c105d9,Fabio Maldonado,23,11,0,0,"6'1""",205,"75""",Orthodox,3/17/1980,5.29,58%,4.31,53%,0.44,57%,61%,57%,0.6
622,623,7abe471b61725980,Fabricio Camoes,14,9,1,0,"5'10""",155,"71""",Orthodox,12/23/1978,1.29,33%,1.85,61%,2.34,32%,20%,32%,1.5
623,624,492b202d2064e7a9,Fabricio Werdum,24,9,1,0,"6'4""",231,"77""",Orthodox,7/30/1977,3.59,52%,2.64,55%,1.75,31%,31%,31%,1.2
625,626,1e4f273069fb9e85,Fares Ziam,11,3,0,0,"6'1""",155,"75""",Orthodox,3/21/1997,1.9,47%,1.37,66%,0.5,11%,65%,11%,0.0
626,627,b6850671a008bf9a,Felice Herrig,14,9,0,0,"5'4""",115,"65""",Orthodox,9/18/1984,3.63,36%,4.84,49%,1.18,30%,72%,30%,0.9
627,628,39d91e95949de3d9,Felicia Spencer,8,2,0,0,"5'6""",145,"68""",Orthodox,11/29/1990,3.02,45%,5.57,43%,0.64,10%,14%,10%,0.3
628,629,71002dbc1743b9a7,Felipe Arantes,18,10,1,2,"5'8""",135,"73""",Orthodox,2/09/1988,2.37,45%,2.66,64%,0.93,47%,41%,47%,0.7
629,630,dbac0a413af64bbe,Felipe Colares,9,2,0,0,"5'8""",135,"69""",Orthodox,3/31/1994,1.13,42%,3.0,32%,2.0,25%,34%,25%,1.0
631,632,1b38a2b897f6209c,Felipe Silva,8,2,0,0,"6'0""",155,"77""",Orthodox,5/08/1984,5.4,50%,1.8,59%,1.0,100%,71%,100%,0.0
636,637,fcffee71cff5530e,Forrest Griffin,19,7,0,0,"6'3""",205,"77""",Orthodox,3/16/1979,4.38,36%,2.81,61%,1.05,48%,57%,48%,0.7
637,638,e86bc32f5997a8f7,Forrest Petz,26,10,0,0,"5'9""",170,"71""",Orthodox,9/22/1975,2.27,29%,2.2,57%,1.3,100%,66%,100%,0.0
638,639,b69f24c500d783e7,Francimar Barroso,19,7,0,1,"6'1""",205,"75""",Orthodox,2/28/1980,2.77,52%,3.07,59%,2.22,24%,83%,24%,0.0
639,640,3591d0d5d382a381,Francis Carmont,25,12,0,0,"6'3""",205,"78""",Orthodox,10/11/1981,2.22,42%,1.64,59%,1.79,36%,73%,36%,0.6
640,641,8d03ce87ca14e778,Francis Ngannou,15,3,0,0,"6'4""",250,"83""",Orthodox,9/05/1986,2.23,37%,2.03,47%,0.0,0%,71%,0%,0.5
641,642,cdadae5363b66eef,Francisco Figueiredo,12,3,1,1,"5'6""",135,"69""",Southpaw,10/23/1989,1.93,54%,2.07,76%,4.0,66%,100%,66%,0.0
642,643,7ea4a9f07df33a45,Francisco Rivera,11,7,0,1,"5'8""",135,"70""",Orthodox,10/08/1981,4.07,41%,3.16,68%,1.01,63%,68%,63%,0.6
643,644,97a6bbe6e6566a94,Francisco Trevino,13,3,0,0,"5'9""",155,"70""",Orthodox,12/17/1981,2.65,42%,2.42,64%,0.97,22%,41%,22%,0.0
644,645,a8283a4f415e1eb9,Francisco Trinaldo,26,7,0,0,"5'9""",155,"70""",Southpaw,8/24/1978,3.11,44%,2.56,60%,1.09,46%,61%,46%,0.6
645,646,764342d39cdaa54a,Frank Camacho,22,9,0,0,"5'10""",170,"73""",Orthodox,5/18/1989,6.67,46%,7.31,52%,1.17,45%,72%,45%,0.0
647,648,1ff9589f9065a9ed,Frank Mir,18,11,0,0,"6'3""",264,"79""",Southpaw,5/24/1979,2.18,47%,3.84,38%,2.02,40%,54%,40%,2.0
649,650,d2d37e8eeb3abc8d,Frank Trigg,21,9,0,0,"5'9""",170,"71""",Southpaw,5/07/1972,2.79,46%,1.9,56%,2.35,47%,75%,47%,0.8
650,651,f2688492b9a525a3,Frankie Edgar,23,9,1,0,"5'6""",135,"68""",Orthodox,10/16/1981,3.7,39%,2.71,66%,2.28,31%,65%,31%,0.3
651,652,96c336b463e0662c,Frankie Perez,10,4,0,0,"5'11""",155,"73""",Orthodox,5/11/1989,1.64,41%,2.17,54%,1.75,41%,50%,41%,0.3
652,653,9ba2226646046b63,Frankie Saenz,13,7,0,0,"5'6""",135,"66""",Orthodox,8/12/1980,3.94,47%,3.5,52%,1.74,31%,61%,31%,0.1
654,655,320edfb0332b7073,Fredson Paixao,10,5,0,1,"5'6""",145,"66""",Orthodox,5/13/1979,1.71,54%,2.31,62%,0.62,11%,10%,11%,2.2
655,656,0ccab7c889ede9ea,Fredy Serrano,3,2,0,0,"5'3""",125,"65""",Orthodox,9/22/1979,1.58,26%,1.89,61%,2.84,25%,84%,25%,0.0
656,657,5eb50529a8418b77,Gabe Green,10,3,0,0,"5'10""",170,"73""",Switch,5/02/1993,6.57,46%,7.23,49%,1.0,100%,57%,100%,0.5
658,659,436f970c9ea9169c,Gabriel Benitez,22,9,0,0,"5'8""",155,"71""",Southpaw,6/15/1988,4.38,38%,3.26,70%,0.17,50%,56%,50%,1.2
659,660,270b89c00ef0c55c,Gabriel Gonzaga,17,11,0,0,"6'2""",242,"76""",Orthodox,5/18/1979,2.12,45%,2.94,57%,2.8,39%,66%,39%,1.1
660,661,002ca196477ce572,Gabriel Silva,8,2,0,0,"5'6""",135,"71""",Orthodox,8/26/1994,1.3,34%,3.47,45%,1.5,25%,38%,25%,0.5
661,662,af997f7611673880,Gadzhimurad Antigulov,20,8,0,0,"5'11""",205,"70""",Orthodox,2/09/1987,2.08,55%,4.21,40%,5.08,36%,0%,36%,1.4
663,664,8a56ea383fd26e52,Galore Bofando,5,3,0,0,"5'11""",170,"72""",Switch,5/22/1982,3.63,45%,3.63,54%,2.37,100%,50%,100%,0.0
665,666,129537073431e52e,Garett Whiteley,7,3,0,0,"6'0""",155,"72""",Orthodox,12/13/1980,3.72,48%,4.04,46%,0.0,0%,27%,0%,0.9
666,667,f215cfbd4ba3c270,Garreth McLellan,13,6,0,0,"6'1""",185,"72""",Southpaw,9/01/1982,3.56,54%,2.94,45%,1.15,22%,34%,22%,0.9
668,669,7a39bbac8cc0fa70,Gasan Umalatov,17,4,2,0,"5'11""",170,"71""",Orthodox,9/11/1982,2.23,39%,4.1,59%,0.75,17%,90%,17%,0.0
669,670,da816417a579a0bd,Gavin Tucker,13,2,0,0,"5'6""",145,"66""",Southpaw,6/17/1986,4.39,45%,4.28,57%,2.98,42%,53%,42%,1.5
670,671,c169545ab0825f44,Geane Herrera,9,3,0,0,"5'5""",125,"66""",Orthodox,5/27/1990,1.51,31%,5.07,52%,0.83,37%,38%,37%,0.6
671,672,232c582f29f8f65e,Gegard Mousasi,42,6,2,0,"6'2""",185,"76""",Orthodox,8/01/1985,3.75,50%,1.21,68%,1.59,60%,59%,60%,1.1
673,674,b997be68943010fc,Geoff Neal,13,3,0,0,"5'11""",170,"75""",Southpaw,8/28/1990,4.94,49%,4.93,61%,0.5,50%,92%,50%,0.2
674,675,3c0437fbeda06962,George Roop,15,13,1,0,"6'1""",135,"72""",Orthodox,11/10/1981,3.43,34%,2.47,60%,1.05,57%,59%,57%,0.1
675,676,896c322f56b8be5a,George Sotiropoulos,14,7,0,0,"5'10""",155,"71""",Orthodox,7/09/1977,2.61,27%,2.52,67%,2.32,31%,53%,31%,1.6
676,677,6c7e25571490aa3b,George Sullivan,17,7,0,1,"6'0""",170,"73""",Orthodox,3/13/1981,3.53,39%,2.42,57%,1.37,20%,38%,20%,0.7
677,678,6506c1d34da9c013,Georges St-Pierre,26,2,0,0,"5'11""",185,"76""",Orthodox,5/19/1981,3.78,53%,1.4,72%,4.16,74%,83%,74%,1.1
678,679,c4b81cdecd5d6abe,Gerald Harris,23,5,0,0,"5'11""",185,"77""",Southpaw,11/19/1979,1.41,29%,1.58,62%,2.96,54%,72%,54%,0.0
679,680,6ac9bc2953c47345,Gerald Meerschaert,31,14,0,0,"6'1""",185,"77""",Southpaw,12/18/1987,3.3,42%,3.61,51%,2.33,43%,46%,43%,1.7
681,682,9cfbfae5fa1fdd93,Geraldo de Freitas,12,6,0,0,"5'7""",135,"72""",Orthodox,9/30/1991,3.67,52%,2.62,50%,3.0,45%,59%,45%,0.0
682,683,1d239d571e342453,Germaine de Randamie,10,4,0,0,"5'9""",135,"71""",Orthodox,4/24/1984,2.72,46%,2.14,65%,0.0,0%,69%,0%,0.4
684,685,fcd448a2fe1a23cc,Gian Villante,17,13,0,0,"6'3""",230,"76""",Orthodox,8/18/1985,4.39,43%,5.48,55%,0.46,23%,83%,23%,0.0
686,687,9560ff14eb3129f7,Giga Chikadze,12,2,0,0,"6'0""",145,"74""",Orthodox,8/25/1988,3.45,43%,2.65,60%,0.38,33%,68%,33%,0.0
689,690,23024fdfc966410a,Gilbert Burns,19,4,0,0,"5'10""",170,"71""",Orthodox,7/20/1986,3.22,45%,3.04,54%,2.08,35%,50%,35%,0.7
690,691,aa5b4eff51bdc7d1,Gilbert Melendez,22,8,0,0,"5'9""",145,"73""",Orthodox,4/12/1982,3.44,33%,2.53,63%,1.64,41%,71%,41%,0.2
692,693,d29b5c4f22c6357d,Gilbert Yvel,39,16,1,1,"6'2""",225,"77""",Orthodox,6/30/1976,1.05,47%,1.78,50%,0.0,0%,25%,0%,1.0
693,694,38c7f72747f4f712,Gillian Robertson,9,5,0,0,"5'5""",125,"63""",Orthodox,5/17/1995,2.05,51%,2.1,51%,2.64,46%,0%,46%,0.9
694,695,016a8d958883167c,Gina Mazany,7,4,0,0,"5'6""",125,"68""",Southpaw,8/19/1988,3.45,47%,3.07,51%,4.41,63%,33%,63%,0.3
695,696,00a3ff40c4b2cf21,Glaico Franca Moreira,15,5,0,0,"6'0""",155,"77""",Orthodox,2/28/1991,2.35,42%,3.46,47%,2.68,42%,76%,42%,0.3
696,697,75e5fec9f72910ef,Gleison Tibau,33,14,0,0,"5'10""",155,"71""",Southpaw,10/07/1983,1.95,31%,2.51,63%,4.08,53%,92%,53%,0.8
697,698,5dd180c8b3196786,Gloria de Paula,5,3,0,0,"5'5""",115,"67""",Orthodox,6/10/1995,3.33,54%,1.2,70%,0.0,0%,71%,0%,1.0
698,699,7ff97850e8c32bda,Glover Teixeira,32,7,0,0,"6'2""",205,"76""",Orthodox,10/28/1979,3.75,47%,3.84,54%,2.04,40%,60%,40%,1.0
699,700,fa37628269132d1a,Godofredo Pepey,13,6,0,0,"5'7""",145,"73""",Orthodox,7/02/1987,2.32,38%,3.23,47%,0.37,7%,35%,7%,1.5
700,701,4690d47bf725fd98,Gokhan Saki,1,2,0,0,"6'0""",205,"73""",Orthodox,10/19/1983,7.09,58%,4.57,53%,0.0,0%,100%,0%,0.0
701,702,132f860d02953f4c,Goran Reljic,15,8,0,0,"6'3""",205,"81""",Southpaw,3/20/1984,1.69,37%,2.69,59%,1.69,50%,33%,50%,1.1
702,703,99bd51917728c25d,Grant Dawson,16,1,0,0,"5'10""",145,"72""",Switch,2/20/1994,3.5,47%,2.13,50%,4.17,45%,33%,45%,2.1
703,704,7d96bc577e5178b2,Gray Maynard,13,7,1,1,"5'9""",155,"70""",Orthodox,5/09/1979,1.92,32%,2.64,66%,2.91,47%,81%,47%,0.7
704,705,85073dbd1be65ed9,Greg Hardy,7,3,0,1,"6'5""",265,"80""",Orthodox,7/28/1988,4.83,50%,3.12,56%,0.21,33%,80%,33%,0.0
705,706,9c669abd35b2522f,Greg Soto,9,4,0,0,"5'11""",170,"73""",Orthodox,6/03/1986,3.21,63%,2.61,52%,1.49,27%,44%,27%,1.0
707,708,84ff027394f7e470,Gregor Gillespie,13,1,0,0,"5'7""",155,"71""",Orthodox,11/13/1986,3.58,49%,2.14,60%,7.02,47%,0%,47%,0.9
708,709,d3fa5c5955397532,Grigory Popov,13,3,0,0,"5'7""",135,"68""",Switch,4/18/1984,3.63,37%,4.2,55%,0.0,0%,45%,0%,0.0
709,710,2c1170b825f58e57,Guangyou Ning,5,4,1,0,"5'4""",145,"64""",Southpaw,12/15/1981,2.66,41%,1.91,61%,1.09,50%,62%,50%,0.3
710,711,d05412b513b19621,Guido Cannetti,8,6,0,0,"5'6""",135,"68""",Southpaw,12/19/1979,2.85,51%,2.17,50%,2.64,50%,75%,50%,0.3
712,713,fd55393021a8c255,Gunnar Nelson,17,5,1,0,"5'11""",170,"72""",Switch,7/28/1988,1.71,57%,3.33,49%,1.72,55%,66%,55%,0.9
713,714,7772b283d288dbe2,Guram Kutateladze,12,2,0,0,"5'11""",155,"72""",Orthodox,1/08/1992,2.47,43%,3.47,58%,0.0,0%,68%,0%,0.0
714,715,93b62c5f2ba18e51,Gustavo Lopez,12,5,0,0,"5'5""",135,"67""",Orthodox,6/27/1989,2.26,40%,5.08,46%,1.69,66%,27%,66%,0.8
717,718,ed209f6618c82e41,Hacran Dias,23,6,1,0,"5'8""",155,"69""",Orthodox,6/16/1984,2.08,41%,3.31,55%,2.5,39%,76%,39%,0.5
718,719,2c9d00968f818270,Hakeem Dawodu,12,1,1,0,"5'8""",145,"73""",Orthodox,7/02/1991,5.15,47%,2.31,63%,0.0,0%,85%,0%,0.0
